eta,Algorithme,Nombre de points P,Dimension N,Avg_nbIter,Avg_R,Temps_execution_s
0.8,online,10,2,1.6,0.8767277580618984,0.006447299965657294
0.8,batch,10,2,1.9,0.8514596525381117,0.005984900053590536
0.8,online,10,10,2.9,0.5707922328744165,0.008533800020813942
0.8,batch,10,10,4.25,0.6305154684665173,0.009155099978670478
0.8,online,10,100,1.6,0.1982886732561367,0.018085399991832674
0.8,batch,10,100,2.2,0.2169582226336091,0.020155200036242604
0.8,online,10,5000,1.65,0.017587581534057983,0.5825177999213338
0.8,batch,10,5000,2.4,0.025055347640298882,0.8290171000408009
0.8,online,100,2,48.15,0.9928001451141977,0.1106527999509126
0.8,batch,100,2,49.0,0.7371802488000231,0.12248090002685785
0.8,online,100,10,11.5,0.9694888950571562,0.07181170000694692
0.8,batch,100,10,5.95,0.9706640693156914,0.04709780006669462
0.8,online,100,100,5.4,0.6091282840058776,0.2609181000152603
0.8,batch,100,100,5.6,0.6091525304780453,0.2797953999834135
0.8,online,100,5000,3.35,0.09646539168914502,8.900811899919063
0.8,batch,100,5000,3.75,0.10516623581083769,10.28627410007175
0.8,online,500,2,17.5,0.9996202609993405,0.20343320001848042
0.8,batch,500,2,49.0,0.9006410177890816,0.53905559994746
0.8,online,500,10,49.0,0.9973721625104238,1.2379252000246197
0.8,batch,500,10,31.95,0.9681911460206883,0.8556713999714702
0.8,online,500,100,43.55,0.967851403149847,8.355566099984571
0.8,batch,500,100,24.95,0.9646660792634296,5.118952900054865
0.8,online,500,5000,5.05,0.2207478051988979,59.988501899992116
0.8,batch,500,5000,5.2,0.23536606964069903,65.23743939993437
0.8,online,1000,2,37.25,0.9970001964939355,0.8144453000277281
0.8,batch,1000,2,49.0,0.9890181379992953,1.1123597000259906
0.8,online,1000,10,49.0,0.9961786274876039,2.510178600088693
0.8,batch,1000,10,11.3,0.9607828132486839,0.6665935999481007
0.8,online,1000,100,49.0,0.9873016646600543,18.905269400100224
0.8,batch,1000,100,28.7,0.9885155525822892,11.304468699963763
0.8,online,1000,5000,6.35,0.31527326499557023,143.74941729998682
0.8,batch,1000,5000,5.7,0.33034411934942776,139.9229014000157
0.4,online,10,2,2.45,0.8023399901807882,0.005942500079981983
0.4,batch,10,2,2.35,0.8255131788334384,0.005478600040078163
0.4,online,10,10,1.45,0.6117647707782123,0.005994200007990003
0.4,batch,10,10,2.3,0.6152217325222117,0.006179500021971762
0.4,online,10,100,1.4,0.2122166167751939,0.01514179992955178
0.4,batch,10,100,1.5,0.23631556572689433,0.01791860000230372
0.4,online,10,5000,1.45,0.02605608664436069,0.5537774000549689
0.4,batch,10,5000,1.55,0.02907582629573598,0.607311200001277
0.4,online,100,2,23.05,0.9233324431883103,0.05991299997549504
0.4,batch,100,2,49.0,0.7313754358312321,0.12055450002662838
0.4,online,100,10,46.9,0.9937640934467197,0.27342820004560053
0.4,batch,100,10,43.65,0.9514224609987949,0.23846600006800145
0.4,online,100,100,5.0,0.6477706743204393,0.24877279996871948
0.4,batch,100,100,5.55,0.6685496800256712,0.2880491999676451
