eta,Algorithme,Nombre de points P,Dimension N,Avg_nbIter,Avg_R,Temps_execution_s
0.8,online,10,2,4.1899999999999995,0.8149527565971281,2.2810604998175008e-07
0.8,batch,10,2,5.7283333333333335,0.8543167094962517,2.5507790125607525e-07
0.8,online,10,10,2.3249999999999997,0.5609839269478077,2.3419913536880485e-07
0.8,batch,10,10,3.1,0.5843385853948989,2.615853087735121e-07
0.8,online,10,100,1.8399999999999999,0.2161085435315636,7.217540739127147e-07
0.8,batch,10,100,2.3266666666666667,0.2314740582803365,8.581682720601007e-07
0.8,online,10,5000,1.7233333333333332,0.026421464075363384,2.3899002715278373e-05
0.8,batch,10,5000,2.28,0.029810755299205714,3.0652821110848935e-05
0.8,online,100,2,22.111666666666665,0.9293367539994155,2.170789876326137e-06
0.8,batch,100,2,40.468333333333334,0.806725727464755,3.7400229632808466e-06
0.8,online,100,10,19.313333333333333,0.9773340216478897,4.266187530959508e-06
0.8,batch,100,10,9.608333333333333,0.9802739887376267,2.512282098465266e-06
0.8,online,100,100,5.2683333333333335,0.6311853671029144,1.0022602716524062e-05
0.8,batch,100,100,5.971666666666666,0.6465128804150428,1.1672758024019177e-05
0.8,online,100,5000,3.3950000000000005,0.09424675950078949,0.0003936714919752522
0.8,batch,100,5000,3.855,0.1019818400355467,0.00045348418617238766
0.8,online,500,2,35.93666666666666,0.9987227195249305,1.4657358271443505e-05
0.8,batch,500,2,49.0,0.826049853861521,2.0843167407265686e-05
0.8,online,500,10,48.06333333333334,0.9910212764201384,4.620944185147959e-05
0.8,batch,500,10,32.08666666666667,0.9591911980055201,3.215889740752539e-05
0.8,online,500,100,33.016666666666666,0.947681471589543,0.00023733579012332484
0.8,batch,500,100,17.455,0.9417200609483111,0.00013452425987695425
0.8,online,500,5000,5.193333333333333,0.21482299879299796,0.0023494375730863265
0.8,batch,500,5000,5.053333333333332,0.22913661814193978,0.002450017105679338
